time |	latitude |	longitude |	depth |	mag |	magType
1982-01-18T19:27:24.450Z	40.004	24.319	10	6.8	ms
1982-01-20T04:25:11.630Z	6.946	94.002	18.9	6.3	ms
1982-01-20T07:09:17.430Z	7.119	93.944	27	6.2	ms
1982-01-23T14:10:40.410Z	23.9	121.707	17	5.9	ms
1982-01-23T17:37:30.260Z	31.696	82.246	33	6.5	ms
1982-01-23T17:48:02.140Z	31.582	82.205	33	6	ms
1982-01-23T17:55:46.790Z	21.649	-45.477	10	5.8	ms
1982-01-24T06:08:56.660Z	14.085	124.347	37.2	6.4	ms
1982-01-25T05:29:33.520Z	53.222	-165.719	60	6.1	mb
1982-01-28T14:26:15.550Z	-27.383	-71.782	33	6.1	mb
1982-01-29T22:32:05.990Z	25.509	-45.288	10	5.8	ms
1982-01-30T02:35:10.640Z	16.737	-61.43	63.3	6	mb
1982-02-10T20:38:01.020Z	-22.648	-66.466	196.2	5.9	mb
1982-02-20T13:26:50.360Z	-10.861	166.015	36	6.8	ms
1982-02-20T19:18:20.240Z	33.579	140.999	18	6.5	ms
1982-02-27T16:16:54.530Z	22.288	143.458	127	5.9	mb
1982-03-04T09:11:49.520Z	-22.426	173.624	45	6	ms
1982-03-07T15:41:57.110Z	-25.096	-175.569	37	5.9	mb
1982-03-10T21:58:43.530Z	-56.037	-27.291	102	6	mb
1982-03-11T10:32:27.100Z	-9.265	118.479	33	6.4	ms
1982-03-21T02:32:07.740Z	42.158	142.361	44	6.7	ms
1982-03-21T10:22:33.100Z	42.231	142.52	18	5.8	mb
1982-03-21T13:35:03.140Z	-18.586	-175.188	203	5.9	mb
1982-03-25T05:05:39.610Z	-52.733	-46.782	10	6	ms
1982-03-28T03:52:34.590Z	-31.485	-178.66	79	6	mb
1982-03-28T23:24:51.120Z	-12.69	-76.065	95	6.1	mb
1982-03-29T12:20:26.720Z	-15.471	-179.61	33	6.3	ms
1982-03-29T19:28:09.300Z	-5.035	148.942	33	5.9	mb
1982-03-29T21:33:55.440Z	0.088	123.332	187.2	6	mb
1982-04-06T19:56:53.450Z	14.315	-92.082	64.8	6.5	ms
1982-04-10T16:25:33.580Z	17.38	-83.499	10	5.9	ms
1982-04-12T00:34:44.380Z	-30.185	-177.89	35	6.1	ms
1982-04-16T14:04:51.230Z	-15.792	-172.985	33	6	ms
1982-04-17T09:20:57.860Z	19.871	120.526	10.3	6.2	mb
1982-04-18T11:30:55.300Z	-28.185	-114.069	10	5.9	mb
1982-04-19T14:42:14.110Z	19.888	120.518	2.1	5.8	mb
1982-04-25T03:23:05.420Z	49.889	78.931	0	6.1	mb
1982-05-02T11:19:38.010Z	-29.318	-177.151	25.4	6.5	ms
1982-05-07T05:36:19.600Z	-0.624	123.291	91.9	5.9	mb
1982-05-07T05:38:34.890Z	-60.597	-20.877	10	6.7	ms
1982-05-20T21:29:15.020Z	-20.283	168.22	38	5.9	mb
1982-05-23T21:32:35.110Z	-3.385	177.395	32	5.9	mb
1982-05-24T07:25:32.340Z	48.826	154.969	29	5.9	mb
1982-05-29T12:21:08.390Z	42.812	143.164	75.1	5.8	mb
1982-05-31T10:21:15.010Z	55.138	165.401	33	6.4	ms
1982-05-31T15:18:55.740Z	7.776	135.777	33	6.4	ms
1982-05-31T20:13:08.700Z	38.695	142.094	51.4	5.9	ms
1982-06-01T04:14:15.430Z	-41.548	-75.106	33	6.1	ms
1982-06-02T12:37:34.590Z	-18.083	-172.492	33	6.4	ms
1982-06-04T03:01:04.120Z	51.597	-177.333	58.9	5.8	mb
1982-06-07T06:52:37.370Z	16.607	-98.149	40.5	6.9	ms
1982-06-07T10:59:40.160Z	16.558	-98.358	33.8	7	ms
1982-06-09T03:08:35.420Z	-5.708	150.962	84.4	5.9	mb
1982-06-11T00:38:09.800Z	-17.616	-174.414	123	6.3	mb
1982-06-14T16:41:04.140Z	-4.714	103.061	56	5.9	mb
1982-06-19T06:21:58.000Z	13.332	-89.387	73	7.3	mw
1982-06-22T04:18:40.500Z	-7.339	126.043	450	6.3	mb
1982-06-25T10:23:51.200Z	-6.356	103.437	35.4	5.8	ms
1982-06-27T16:17:13.490Z	-55.486	160.161	10	6.1	ms
1982-06-30T01:57:34.150Z	44.679	151.143	33	6.9	ms
1982-07-01T07:41:53.260Z	51.426	-179.943	47.7	6	mw
1982-07-04T01:17:14.470Z	49.995	78.856	0	6.1	mb
1982-07-04T01:20:06.800Z	27.929	136.967	536	7.1	mw
1982-07-07T10:43:03.740Z	-51.225	160.513	10	7	ms
1982-07-17T22:02:07.980Z	-21.735	173.132	36.9	6.2	ms
1982-07-23T14:23:53.570Z	36.194	141.702	36.6	7.1	mw
1982-07-23T17:54:02.480Z	36.067	141.725	31	6.2	ms
1982-07-31T06:29:15.520Z	51.755	176.137	37.8	6.4	mw
1982-08-03T06:04:39.610Z	13.741	146.34	46.5	5.9	mw
1982-08-05T20:32:52.950Z	-12.597	165.931	30.7	7	mw
1982-08-06T20:40:52.200Z	-8.375	120.577	45.7	5.9	mb
1982-08-07T20:56:22.720Z	-11.143	115.418	33	6.4	mw
1982-08-12T02:13:08.690Z	-4.354	153.158	45	6.5	mw
