time |	latitude |	longitude |	depth |	mag |	magType
1991-08-15T13:35:59.460Z	-16.064	168.01	170.8	6.3	mw
1991-08-16T22:26:17.210Z	41.697	-125.385	10	6.4	mwb
1991-08-17T19:29:40.000Z	40.235	-124.348	12	6.3	mwb
1991-08-17T22:17:14.680Z	41.821	-125.397	13.5	7.1	mw
1991-09-03T08:44:48.600Z	33.649	138.778	27.2	6.4	mwb
1991-09-03T09:05:28.310Z	-17.91	-116.001	8.5	6.4	mwb
1991-09-03T11:56:16.270Z	-17.921	-115.992	10.7	6.3	mwb
1991-09-18T09:48:13.110Z	14.646	-90.986	5	6.2	mw
1991-09-21T15:19:48.180Z	-16.232	-173.004	17	6.1	mw
1991-09-28T20:26:56.150Z	-5.814	150.959	28	6.6	mwb
1991-09-30T00:21:46.410Z	-20.878	-178.591	566.4	7	mw
1991-10-08T03:31:15.600Z	45.587	149.049	145.9	6	mw
1991-10-12T16:26:24.860Z	-13.742	166.673	43.8	6.3	mwb
1991-10-13T18:12:20.330Z	-56.097	-122.633	10	6.3	mw
1991-10-14T15:58:12.790Z	-9.094	158.442	23.4	7.2	mw
1991-10-14T16:16:57.220Z	-9.08	158.599	31.3	6.4	ms
1991-10-14T16:55:53.010Z	-9.026	158.356	18.9	6.1	ms
1991-10-15T16:18:01.730Z	-6.494	130.043	136.8	6.2	mw
1991-10-17T09:05:20.230Z	-15.3	-173.556	35.5	6.1	mwb
1991-10-18T17:22:55.150Z	-24.295	-177.561	197.5	6.5	mwb
1991-10-19T21:23:14.300Z	30.78	78.774	10.3	6.8	mwb
1991-10-26T02:27:31.570Z	18.506	145.668	192	6	mwb
1991-10-30T10:35:41.440Z	-15.31	-173.187	17.8	6.2	mwb
1991-11-01T02:51:12.770Z	1.235	122.105	37.1	6	mw
1991-11-01T16:23:22.370Z	-30.255	-177.981	21.4	6.6	mwb
1991-11-01T16:52:56.450Z	46.55	152.782	43	6	ms
1991-11-04T06:24:02.600Z	-6.072	148.198	49.9	6.2	mwb
1991-11-05T06:56:03.010Z	-6.237	146.444	105.3	6.2	mw
1991-11-05T21:16:16.020Z	-16.908	66.162	10	6.5	mw
1991-11-07T09:21:23.720Z	-7.32	128.55	140.2	6.3	mw
1991-11-11T16:15:50.350Z	-24.216	-177.393	177.8	6	mw
1991-11-13T11:12:13.240Z	8.361	126.371	35.9	6.8	mwb
1991-11-19T22:28:51.090Z	4.554	-77.442	21.3	7.2	mw
1991-11-20T09:23:09.460Z	-36.515	178.385	79.2	6.1	mw
1991-11-21T12:38:28.570Z	5.782	126.832	73.3	6.3	mwb
1991-11-26T10:41:32.000Z	51.4	-176	24	6	mw
1991-11-26T19:40:48.570Z	42.051	142.523	56.3	6.4	mwb
1991-12-03T10:33:39.920Z	-26.483	178.715	561	6.3	mw
1991-12-07T11:59:00.910Z	45.475	151.391	49.8	6	mw
1991-12-11T17:03:10.640Z	-17.821	-116.017	18.9	6.4	mwb
1991-12-11T20:39:39.200Z	-23.368	171.044	36.6	6.5	mw
1991-12-13T02:33:51.850Z	45.578	151.56	30	6.6	mw
1991-12-13T05:45:29.030Z	45.567	151.53	25.8	6	mw
1991-12-13T18:59:06.560Z	45.521	151.707	18.7	6.5	mwb
1991-12-13T19:55:09.550Z	45.435	151.27	48.2	6.4	mw
1991-12-13T19:58:18.530Z	45.439	151.427	19.7	6.3	mw
1991-12-17T03:41:08.140Z	-62.551	155.054	10	6.3	mw
1991-12-19T01:33:40.430Z	45.253	151.176	27.2	6.8	mw
1991-12-22T08:43:13.410Z	45.533	151.021	24.7	7.6	mw
1991-12-27T02:32:43.110Z	-19.173	-176.4	25.6	6	mw
1991-12-27T04:05:58.240Z	-56.032	-25.266	10	7.2	mw
1991-12-27T09:09:37.500Z	51.019	98.15	13.5	6.4	mw
1991-12-28T00:52:10.160Z	-56.102	-24.614	10	6.6	mw
1991-12-29T18:39:09.460Z	-4.421	132.727	36.7	6.4	mw
1992-01-02T16:40:40.600Z	48.738	-129.233	10	6.1	mwb
1992-01-13T11:58:23.140Z	1.342	127.373	112.9	6.1	mwb
1992-01-20T13:37:03.080Z	27.983	139.405	498.5	6.7	mwb
1992-02-02T00:22:05.990Z	-51.654	139.406	10	6	mw
1992-02-02T00:31:30.940Z	-51.547	139.704	10	6.3	mw
1992-02-06T01:12:38.550Z	-5.72	103.156	36.8	6.5	mwb
1992-02-13T01:29:13.190Z	-15.894	166.318	9.6	6.8	mw
1992-02-13T02:38:18.400Z	53.597	-165.734	44.2	6	mw
1992-02-17T00:01:56.610Z	79.191	124.482	10	6	mw
1992-02-17T04:37:31.420Z	-55.979	158.123	33	6.2	mw
1992-02-17T04:42:08.450Z	-21.647	170.412	137.2	6.2	mw
1992-02-20T15:44:42.390Z	-15.382	-177.108	378.9	6	mw
1992-02-21T14:42:29.170Z	-6.228	147.613	55	6	mw
1992-02-26T03:45:19.780Z	11.803	57.764	10	6	mwb
1992-02-27T20:05:23.840Z	-6.191	147.576	38.5	6.7	mw
1992-03-02T12:29:39.590Z	52.915	159.886	38.6	6.9	mwb
1992-03-02T14:07:59.570Z	52.835	159.876	34.9	6	ms
1992-03-04T03:49:54.800Z	-3.008	147.882	19.4	6.4	mw
1992-03-05T08:55:05.600Z	11.513	42.812	7.4	6.2	mw
1992-03-05T14:39:10.250Z	52.9	159.619	45.2	6.4	mwb
1992-03-07T01:53:37.760Z	10.21	-84.323	78.9	6.6	mwb
1992-03-07T18:37:13.000Z	-3.477	146.316	14.9	6.2	mw
1992-03-11T19:42:59.210Z	-3.438	146.734	27.8	6.1	mw
1992-03-13T16:01:04.480Z	52.451	-178.945	197.4	6.4	mwb
1992-03-13T17:18:39.980Z	39.71	39.605	27.2	6.7	mwb
1992-03-13T17:50:01.230Z	-9.191	152.394	25.2	6.1	ms
1992-03-19T06:34:25.860Z	17.155	120.827	15.4	6.3	mwb
1992-03-24T18:20:12.870Z	-55.506	-124.357	10	6	mw
1992-03-24T22:47:06.680Z	3.613	127.008	53.4	6	mw
1992-03-26T14:14:11.980Z	51.222	-179.723	33	6	mw
1992-03-31T03:32:02.570Z	-49.872	-113.744	10	6.3	mw
1992-04-03T03:19:51.430Z	-5.696	151.164	27.4	6.5	mwb
1992-04-05T11:46:35.050Z	-11.938	166.324	48.5	6.1	mw
1992-04-06T13:54:40.220Z	50.724	-130.092	19.7	6.7	mw
1992-04-06T15:16:08.780Z	50.593	-129.918	10	6	mw
1992-04-07T03:37:02.920Z	-4.172	131.005	52.9	6	mw
1992-04-07T22:47:29.450Z	-16.867	168.129	16	6	mw
1992-04-08T13:36:56.430Z	-16.784	168.31	14.3	6	mw
1992-04-16T08:00:54.240Z	1.186	122.586	30	6.1	mw
1992-04-18T09:16:52.850Z	-5.454	103.001	29.3	6.6	mw
1992-04-19T18:32:19.000Z	23.861	121.594	15.5	6.2	mwb
1992-04-23T04:50:23.230Z	33.96	-116.317	11.629	6.1	mw
1992-04-23T14:18:35.150Z	22.437	98.904	12	6.1	mw
1992-04-23T15:32:49.140Z	22.418	98.852	9.6	6.2	mw
1992-04-24T07:07:23.910Z	27.55	66.065	25	6.2	mwb
1992-04-25T18:06:04.200Z	40.368	-124.316	14.881	7.1	ms
1992-04-26T07:41:39.700Z	40.415	-124.603	19.881	6.6	ms
1992-04-26T11:18:25.700Z	40.378	-124.575	21.881	6.7	ms
1992-05-04T08:45:01.720Z	-6.762	130.229	86.1	6.1	mwb
1992-05-07T06:23:36.150Z	41.175	144.7	12.7	6	mw
1992-05-12T18:05:42.600Z	-16.524	-172.367	15	6.7	mw
1992-05-15T07:05:05.340Z	-6.075	147.572	58	7.2	mw
1992-05-15T08:08:02.990Z	41.019	72.429	49.5	6.2	ms
1992-05-16T14:58:38.920Z	-19.119	169.079	164.5	6.1	mw
1992-05-16T20:57:59.510Z	-13.672	-76.108	56.9	6.1	mw
1992-05-17T09:49:19.110Z	7.239	126.645	32.8	7.1	mw
1992-05-17T10:15:31.310Z	7.191	126.762	33	7.3	mwb
1992-05-18T03:02:21.500Z	-33.594	-72.018	29.5	6.1	mw
1992-05-18T23:19:20.870Z	7.446	-82.311	17.8	6.3	mwb
1992-05-20T12:20:32.850Z	33.377	71.317	16.3	6.3	mwb
1992-05-21T04:59:57.570Z	41.604	88.813	0	6.5	mb
1992-05-21T14:09:03.300Z	-6.175	147.236	47.7	6	mw
1992-05-22T21:40:37.290Z	-3.506	144.221	33	6.2	mw
1992-05-23T10:30:35.880Z	13.479	-89.997	75	6	mw
1992-05-25T16:55:04.170Z	19.613	-77.872	23.1	6.8	mw
1992-05-27T05:13:38.810Z	-11.122	165.239	18.8	7	mw
1992-05-27T22:30:35.230Z	-41.616	173.727	84.7	6	mwb
1992-05-29T21:52:26.860Z	31.17	141.731	18.6	6	mw
1992-05-30T12:42:03.520Z	30.694	141.59	20.2	6	mw
1992-05-30T16:30:01.950Z	14.442	-92.931	54.9	6.3	mw
1992-06-02T21:05:00.830Z	-16.138	92.844	13.9	6.2	mw
1992-06-03T06:10:54.320Z	51.13	178.743	21.9	6.2	mw
1992-06-04T04:04:03.560Z	28.018	128.051	17.3	6	mw
1992-06-06T21:40:40.810Z	1.068	124.04	17.5	6	mw
1992-06-09T00:31:56.310Z	-8.474	111.1	63.9	6.1	mw
1992-06-10T02:13:45.460Z	1.084	124.089	30.5	6	mw
1992-06-15T02:48:56.250Z	24.027	95.932	17.3	6.3	mw
1992-06-16T05:51:03.740Z	45.704	142.263	316.6	6	mw
1992-06-17T08:39:15.420Z	-60.373	-57.074	10	6.2	mwb
1992-06-21T17:43:08.840Z	-37.689	176.861	10	6.2	mw
1992-06-22T04:00:41.000Z	-60.728	-21.969	11.8	6.5	mwb
1992-06-23T11:21:21.550Z	-36.104	-101.22	10	6.1	mw
1992-06-25T06:30:51.000Z	-28.314	-176.716	20	6.5	mw
1992-06-28T11:57:34.130Z	34.2	-116.437	-0.097	7.3	mw
1992-06-28T15:05:30.730Z	34.203	-116.827	3.634	6.3	mw
1992-07-10T09:31:27.590Z	44.695	149.482	19.9	6.5	mw
1992-07-11T10:44:19.760Z	-22.483	-178.413	377.2	7.2	mw
1992-07-12T11:08:55.360Z	41.457	142.031	63.8	6.2	mw
1992-07-13T15:34:04.580Z	51.171	157.626	45.1	6.2	mw
1992-07-13T18:11:33.710Z	-3.919	-76.602	96.5	6.3	mw
1992-07-14T07:03:09.570Z	-4.725	125.455	465	6	mw
1992-07-18T08:36:58.700Z	39.419	143.33	28.6	6.9	mw
1992-07-18T08:39:05.790Z	39.675	143.027	34.7	6.1	mb
1992-07-18T10:20:11.940Z	39.436	143.026	26.7	6.4	mw
1992-07-18T13:56:54.480Z	39.48	142.956	27.2	6.1	mwb
